"Age","Year","Principal","Low","High","Principal.2012","Low.2012","High.2012"
15,2001,1.585003156,1.585003156,1.585003156,2.55688178388691,2.55688178388691,2.55688178388691
16,2001,4.741131645,4.741131645,4.741131645,6.79785496049561,6.79785496049561,6.79785496049561
17,2001,12.87983357,12.87983357,12.87983357,16.7983257272023,16.7983257272023,16.7983257272023
18,2001,21.43293525,21.43293525,21.43293525,27.4553841637238,27.4553841637238,27.4553841637238
19,2001,34.31138427,34.31138427,34.31138427,40.5873994529387,40.5873994529387,40.5873994529387
20,2001,43.16735415,43.16735415,43.16735415,50.9260946138644,50.9260946138644,50.9260946138644
21,2001,50.32381042,50.32381042,50.32381042,58.2060570465616,58.2060570465616,58.2060570465616
22,2001,57.95985937,57.95985937,57.95985937,68.9226222691576,68.9226222691576,68.9226222691576
23,2001,66.34155684,66.34155684,66.34155684,76.7065080908169,76.7065080908169,76.7065080908169
24,2001,75.82582102,75.82582102,75.82582102,84.5575438808439,84.5575438808439,84.5575438808439
25,2001,86.00297303,86.00297303,86.00297303,91.9785648401362,91.9785648401362,91.9785648401362
26,2001,94.5557997,94.5557997,94.5557997,97.3166447846041,97.3166447846041,97.3166447846041
27,2001,102.0055806,102.0055806,102.0055806,103.562420145882,103.562420145882,103.562420145882
28,2001,106.5130484,106.5130484,106.5130484,109.465697283965,109.465697283965,109.465697283965
29,2001,113.0388276,113.0388276,113.0388276,113.315585047887,113.315585047887,113.315585047887
30,2001,113.3064283,113.3064283,113.3064283,115.748771388588,115.748771388588,115.748771388588
31,2001,116.7938643,116.7938643,116.7938643,119.153762565704,119.153762565704,119.153762565704
32,2001,113.1232954,113.1232954,113.1232954,114.468005846542,114.468005846542,114.468005846542
33,2001,106.7279277,106.7279277,106.7279277,109.071197706695,109.071197706695,109.071197706695
34,2001,100.2494272,100.2494272,100.2494272,102.214865712393,102.214865712393,102.214865712393
35,2001,90.06162427,90.06162427,90.06162427,90.7876204715077,90.7876204715077,90.7876204715077
36,2001,78.58999196,78.58999196,78.58999196,77.0801150885122,77.0801150885122,77.0801150885122
37,2001,65.12516615,65.12516615,65.12516615,63.4992561921494,63.4992561921494,63.4992561921494
38,2001,51.63231663,51.63231663,51.63231663,49.3581544293267,49.3581544293267,49.3581544293267
39,2001,40.85878344,40.85878344,40.85878344,38.3777732731557,38.3777732731557,38.3777732731557
40,2001,29.07380116,29.07380116,29.07380116,27.924092340866,27.924092340866,27.924092340866
41,2001,19.35368132,19.35368132,19.35368132,18.3759102435826,18.3759102435826,18.3759102435826
42,2001,12.11134963,12.11134963,12.11134963,11.6001099475977,11.6001099475977,11.6001099475977
43,2001,7.130203726,7.130203726,7.130203726,6.65455865244542,6.65455865244542,6.65455865244542
44,2001,4.116858668,4.116858668,4.116858668,3.79462721360344,3.79462721360344,3.79462721360344
45,2001,2.08059825,2.08059825,2.08059825,2.03733001063758,2.03733001063758,2.03733001063758
46,2001,2.900567415,2.900567415,2.900567415,2.73367823089066,2.73367823089066,2.73367823089066
47,2001,2.900567415,2.900567415,2.900567415,2.73367823089066,2.73367823089066,2.73367823089066
48,2001,2.900567415,2.900567415,2.900567415,2.73367823089066,2.73367823089066,2.73367823089066
49,2001,2.900567415,2.900567415,2.900567415,2.73367823089066,2.73367823089066,2.73367823089066
15,2002,1.585003156,1.585003156,1.585003156,2.55688178388691,2.55688178388691,2.55688178388691
16,2002,4.741131645,4.741131645,4.741131645,6.79785496049561,6.79785496049561,6.79785496049561
17,2002,12.87983357,12.87983357,12.87983357,16.7983257272023,16.7983257272023,16.7983257272023
18,2002,21.43293525,21.43293525,21.43293525,27.4553841637238,27.4553841637238,27.4553841637238
19,2002,34.31138427,34.31138427,34.31138427,40.5873994529387,40.5873994529387,40.5873994529387
20,2002,43.16735415,43.16735415,43.16735415,50.9260946138644,50.9260946138644,50.9260946138644
21,2002,50.32381042,50.32381042,50.32381042,58.2060570465616,58.2060570465616,58.2060570465616
22,2002,57.95985937,57.95985937,57.95985937,68.9226222691576,68.9226222691576,68.9226222691576
23,2002,66.34155684,66.34155684,66.34155684,76.7065080908169,76.7065080908169,76.7065080908169
24,2002,75.82582102,75.82582102,75.82582102,84.5575438808439,84.5575438808439,84.5575438808439
25,2002,86.00297303,86.00297303,86.00297303,91.9785648401362,91.9785648401362,91.9785648401362
26,2002,94.5557997,94.5557997,94.5557997,97.3166447846041,97.3166447846041,97.3166447846041
27,2002,102.0055806,102.0055806,102.0055806,103.562420145882,103.562420145882,103.562420145882
28,2002,106.5130484,106.5130484,106.5130484,109.465697283965,109.465697283965,109.465697283965
29,2002,113.0388276,113.0388276,113.0388276,113.315585047887,113.315585047887,113.315585047887
30,2002,113.3064283,113.3064283,113.3064283,115.748771388588,115.748771388588,115.748771388588
31,2002,116.7938643,116.7938643,116.7938643,119.153762565704,119.153762565704,119.153762565704
32,2002,113.1232954,113.1232954,113.1232954,114.468005846542,114.468005846542,114.468005846542
33,2002,106.7279277,106.7279277,106.7279277,109.071197706695,109.071197706695,109.071197706695
34,2002,100.2494272,100.2494272,100.2494272,102.214865712393,102.214865712393,102.214865712393
35,2002,90.06162427,90.06162427,90.06162427,90.7876204715077,90.7876204715077,90.7876204715077
36,2002,78.58999196,78.58999196,78.58999196,77.0801150885122,77.0801150885122,77.0801150885122
37,2002,65.12516615,65.12516615,65.12516615,63.4992561921494,63.4992561921494,63.4992561921494
38,2002,51.63231663,51.63231663,51.63231663,49.3581544293267,49.3581544293267,49.3581544293267
39,2002,40.85878344,40.85878344,40.85878344,38.3777732731557,38.3777732731557,38.3777732731557
40,2002,29.07380116,29.07380116,29.07380116,27.924092340866,27.924092340866,27.924092340866
41,2002,19.35368132,19.35368132,19.35368132,18.3759102435826,18.3759102435826,18.3759102435826
42,2002,12.11134963,12.11134963,12.11134963,11.6001099475977,11.6001099475977,11.6001099475977
