GSS.Code,Sex,Age,Year,Births
E06000001,F,0,2002,502
E06000001,F,0,2003,498
E06000001,F,0,2004,530
E06000001,F,0,2005,550
E06000001,F,0,2006,611
E06000001,F,0,2007,537
E06000001,F,0,2008,578
E06000001,F,0,2009,553
E06000001,F,0,2010,572
E06000001,F,0,2011,566
E06000001,F,0,2012,558
E06000001,F,0,2013,510
E06000001,F,0,2014,516
E06000001,M,0,2002,515
E06000001,M,0,2003,524
E06000001,M,0,2004,547
E06000001,M,0,2005,535
E06000001,M,0,2006,570
E06000001,M,0,2007,591
E06000001,M,0,2008,621
E06000001,M,0,2009,580
E06000001,M,0,2010,600
E06000001,M,0,2011,621
E06000001,M,0,2012,588
E06000001,M,0,2013,573
E06000001,M,0,2014,553
E06000002,F,0,2002,802
E06000002,F,0,2003,816
E06000002,F,0,2004,924
E06000002,F,0,2005,908
E06000002,F,0,2006,960
E06000002,F,0,2007,969
E06000002,F,0,2008,948
E06000002,F,0,2009,937
E06000002,F,0,2010,993
E06000002,F,0,2011,1063
E06000002,F,0,2012,980
E06000002,F,0,2013,999
E06000002,F,0,2014,954
E06000002,M,0,2002,861
E06000002,M,0,2003,883
E06000002,M,0,2004,939
E06000002,M,0,2005,949
E06000002,M,0,2006,959
E06000002,M,0,2007,949
E06000002,M,0,2008,1023
E06000002,M,0,2009,950
E06000002,M,0,2010,1046
E06000002,M,0,2011,1039
E06000002,M,0,2012,1043
E06000002,M,0,2013,1038
E06000002,M,0,2014,1049
E06000003,F,0,2002,643
E06000003,F,0,2003,696
E06000003,F,0,2004,708
E06000003,F,0,2005,690
E06000003,F,0,2006,732
E06000003,F,0,2007,739
E06000003,F,0,2008,773
E06000003,F,0,2009,734
E06000003,F,0,2010,762
E06000003,F,0,2011,788
E06000003,F,0,2012,789
E06000003,F,0,2013,770
E06000003,F,0,2014,722
E06000003,M,0,2002,693
E06000003,M,0,2003,713
E06000003,M,0,2004,800
E06000003,M,0,2005,824
E06000003,M,0,2006,828
E06000003,M,0,2007,770
E06000003,M,0,2008,807
E06000003,M,0,2009,776
E06000003,M,0,2010,794
E06000003,M,0,2011,853
E06000003,M,0,2012,851
E06000003,M,0,2013,824
E06000003,M,0,2014,756
E06000004,F,0,2002,918
E06000004,F,0,2003,1010
E06000004,F,0,2004,1040
E06000004,F,0,2005,1058
E06000004,F,0,2006,1119
E06000004,F,0,2007,1180
E06000004,F,0,2008,1200
E06000004,F,0,2009,1185
E06000004,F,0,2010,1195
E06000004,F,0,2011,1200
E06000004,F,0,2012,1229
E06000004,F,0,2013,1157
E06000004,F,0,2014,1059
E06000004,M,0,2002,1020
E06000004,M,0,2003,1062
E06000004,M,0,2004,1125
E06000004,M,0,2005,1109
E06000004,M,0,2006,1129
E06000004,M,0,2007,1179
E06000004,M,0,2008,1193
E06000004,M,0,2009,1210
E06000004,M,0,2010,1256
E06000004,M,0,2011,1288
E06000004,M,0,2012,1241
E06000004,M,0,2013,1305
E06000004,M,0,2014,1236
E06000005,F,0,2002,529
E06000005,F,0,2003,574
E06000005,F,0,2004,543
E06000005,F,0,2005,592
E06000005,F,0,2006,612
E06000005,F,0,2007,621
E06000005,F,0,2008,692
E06000005,F,0,2009,635
E06000005,F,0,2010,652
E06000005,F,0,2011,624
E06000005,F,0,2012,654
E06000005,F,0,2013,641
E06000005,F,0,2014,580
E06000005,M,0,2002,573
E06000005,M,0,2003,611
E06000005,M,0,2004,632
E06000005,M,0,2005,657
E06000005,M,0,2006,661
E06000005,M,0,2007,615
E06000005,M,0,2008,640
E06000005,M,0,2009,693
E06000005,M,0,2010,693
E06000005,M,0,2011,693
E06000005,M,0,2012,683
E06000005,M,0,2013,663
E06000005,M,0,2014,645
E06000006,F,0,2002,682
E06000006,F,0,2003,679
E06000006,F,0,2004,714
E06000006,F,0,2005,788
E06000006,F,0,2006,770
E06000006,F,0,2007,775
E06000006,F,0,2008,806
E06000006,F,0,2009,792
E06000006,F,0,2010,846
E06000006,F,0,2011,799
E06000006,F,0,2012,762
E06000006,F,0,2013,821
E06000006,F,0,2014,736
E06000006,M,0,2002,707
E06000006,M,0,2003,700
E06000006,M,0,2004,787
E06000006,M,0,2005,799
E06000006,M,0,2006,904
E06000006,M,0,2007,829
E06000006,M,0,2008,851
E06000006,M,0,2009,798
E06000006,M,0,2010,832
E06000006,M,0,2011,787
E06000006,M,0,2012,830
E06000006,M,0,2013,831
E06000006,M,0,2014,816
E06000007,F,0,2002,1010
E06000007,F,0,2003,1078
E06000007,F,0,2004,1093
E06000007,F,0,2005,1090
E06000007,F,0,2006,1078
E06000007,F,0,2007,1124
E06000007,F,0,2008,1161
E06000007,F,0,2009,1216
E06000007,F,0,2010,1148
E06000007,F,0,2011,1260
E06000007,F,0,2012,1206
E06000007,F,0,2013,1153
E06000007,F,0,2014,1154
E06000007,M,0,2002,1139
E06000007,M,0,2003,1085
E06000007,M,0,2004,1173
E06000007,M,0,2005,1173
E06000007,M,0,2006,1124
E06000007,M,0,2007,1185
E06000007,M,0,2008,1230
E06000007,M,0,2009,1294
E06000007,M,0,2010,1290
E06000007,M,0,2011,1219
E06000007,M,0,2012,1283
E06000007,M,0,2013,1223
E06000007,M,0,2014,1237
E06000008,F,0,2002,1058
E06000008,F,0,2003,1005
E06000008,F,0,2004,1043
E06000008,F,0,2005,1107
E06000008,F,0,2006,1132
E06000008,F,0,2007,1148
E06000008,F,0,2008,1161
E06000008,F,0,2009,1195
E06000008,F,0,2010,1104
E06000008,F,0,2011,1117
E06000008,F,0,2012,1151
E06000008,F,0,2013,1105
E06000008,F,0,2014,1047
E06000008,M,0,2002,1068
E06000008,M,0,2003,1128
E06000008,M,0,2004,1099
E06000008,M,0,2005,1126
E06000008,M,0,2006,1163
E06000008,M,0,2007,1173
E06000008,M,0,2008,1194
E06000008,M,0,2009,1207
E06000008,M,0,2010,1128
E06000008,M,0,2011,1194
E06000008,M,0,2012,1231
E06000008,M,0,2013,1172
E06000008,M,0,2014,1143
E06000009,F,0,2002,693
E06000009,F,0,2003,666
E06000009,F,0,2004,790
E06000009,F,0,2005,846
E06000009,F,0,2006,771
E06000009,F,0,2007,827
E06000009,F,0,2008,842
E06000009,F,0,2009,807
E06000009,F,0,2010,884
E06000009,F,0,2011,847
E06000009,F,0,2012,909
E06000009,F,0,2013,869
E06000009,F,0,2014,852
E06000009,M,0,2002,724
E06000009,M,0,2003,759
E06000009,M,0,2004,840
E06000009,M,0,2005,862
E06000009,M,0,2006,860
E06000009,M,0,2007,847
E06000009,M,0,2008,891
E06000009,M,0,2009,897
E06000009,M,0,2010,903
E06000009,M,0,2011,835
E06000009,M,0,2012,902
E06000009,M,0,2013,899
E06000009,M,0,2014,876
E06000010,F,0,2002,1335
E06000010,F,0,2003,1418
E06000010,F,0,2004,1473
E06000010,F,0,2005,1533
E06000010,F,0,2006,1657
E06000010,F,0,2007,1658
E06000010,F,0,2008,1813
E06000010,F,0,2009,1712
E06000010,F,0,2010,1773
E06000010,F,0,2011,1863
E06000010,F,0,2012,1907
E06000010,F,0,2013,1814
E06000010,F,0,2014,1769
E06000010,M,0,2002,1479
E06000010,M,0,2003,1414
E06000010,M,0,2004,1681
E06000010,M,0,2005,1662
E06000010,M,0,2006,1684
E06000010,M,0,2007,1799
E06000010,M,0,2008,1830
E06000010,M,0,2009,1871
E06000010,M,0,2010,1876
E06000010,M,0,2011,1921
E06000010,M,0,2012,2007
E06000010,M,0,2013,1962
E06000010,M,0,2014,1853
E06000011,F,0,2002,1340
E06000011,F,0,2003,1397
E06000011,F,0,2004,1483
E06000011,F,0,2005,1518
E06000011,F,0,2006,1455
E06000011,F,0,2007,1480
E06000011,F,0,2008,1560
E06000011,F,0,2009,1495
E06000011,F,0,2010,1497
E06000011,F,0,2011,1468
E06000011,F,0,2012,1469
