"GSS.Code","Sex","Age","Year","Births"
"E06000001","F",15,2013,1.621
"E06000001","F",16,2013,7.367
"E06000001","F",17,2013,19.423
"E06000001","F",18,2013,33.994
"E06000001","F",19,2013,43.493
"E06000001","F",20,2013,54.537
"E06000001","F",21,2013,60.819
"E06000001","F",22,2013,59.776
"E06000001","F",23,2013,64.099
"E06000001","F",24,2013,67.282
"E06000001","F",25,2013,74.498
"E06000001","F",26,2013,72.969
"E06000001","F",27,2013,75.454
"E06000001","F",28,2013,71.35
"E06000001","F",29,2013,61.276
"E06000001","F",30,2013,61.414
"E06000001","F",31,2013,67.98
"E06000001","F",32,2013,50.57
"E06000001","F",33,2013,43.569
"E06000001","F",34,2013,40.636
"E06000001","F",35,2013,32.709
"E06000001","F",36,2013,25.096
"E06000001","F",37,2013,18.377
"E06000001","F",38,2013,13.04
"E06000001","F",39,2013,11.64
"E06000001","F",40,2013,7.983
"E06000001","F",41,2013,4.548
"E06000001","F",42,2013,3.895
"E06000001","F",43,2013,2.923
"E06000001","F",44,2013,1.373
"E06000002","F",15,2013,4.233
"E06000002","F",16,2013,12.063
"E06000002","F",17,2013,30.652
"E06000002","F",18,2013,46
"E06000002","F",19,2013,67.837
"E06000002","F",20,2013,94.403
"E06000002","F",21,2013,100.758
"E06000002","F",22,2013,108.615
"E06000002","F",23,2013,111.747
"E06000002","F",24,2013,122.222
"E06000002","F",25,2013,135.295
"E06000002","F",26,2013,118.824
"E06000002","F",27,2013,131.049
"E06000002","F",28,2013,123.246
"E06000002","F",29,2013,115.036
"E06000002","F",30,2013,108.48
"E06000002","F",31,2013,103.571
"E06000002","F",32,2013,98.936
"E06000002","F",33,2013,80.975
"E06000002","F",34,2013,67.309
"E06000002","F",35,2013,47.882
"E06000002","F",36,2013,42.871
"E06000002","F",37,2013,33.947
"E06000002","F",38,2013,27.74
"E06000002","F",39,2013,21.352
"E06000002","F",40,2013,16.956
"E06000002","F",41,2013,10.416
"E06000002","F",42,2013,7.982
